"table_name","id","column_name","data_type","length","is_nullable","column_default","column_comment"
"t_aclose",1,"comcd","character",10,"NO",NULL,NULL
"t_aclose",2,"gubun","character",2,"NO",NULL,NULL
"t_aclose",3,"frprd","character varying",8,"NO",NULL,NULL
"t_aclose",4,"enprd","character varying",8,"NO",NULL,NULL
"t_aclose",5,"actprd","character varying",8,"YES",NULL,NULL
"t_aclose",6,"actend","character varying",8,"YES",NULL,NULL
"t_aclose",7,"reg_date","timestamp without time zone",NULL,"YES","CURRENT_TIMESTAMP",NULL
"t_ai_log",1,"log_id","bigint",NULL,"NO","nextval('t_ai_log_log_id_seq'::regclass)",NULL
"t_ai_log",2,"comcd","character varying",10,"NO",NULL,NULL
"t_ai_log",3,"user_id","character varying",20,"NO",NULL,NULL
"t_ai_log",4,"input_at","timestamp with time zone",NULL,"YES","CURRENT_TIMESTAMP",NULL
"t_ai_log",5,"raw_text","text",NULL,"NO",NULL,NULL
"t_ai_log",6,"ai_json","jsonb",NULL,"NO",NULL,NULL
"t_ai_log",7,"is_modified","boolean",NULL,"YES","false",NULL
"t_ai_log",8,"final_slip_no","character varying",20,"YES",NULL,NULL
"t_ai_log",9,"status","character varying",10,"YES","'SUCCESS'::character varying",NULL
"t_ai_log",10,"error_msg","text",NULL,"YES",NULL,NULL
"t_ai_log",11,"match_score","numeric",NULL,"YES",NULL,NULL
"t_anatype",1,"comcd","character varying",10,"NO",NULL,NULL
"t_anatype",2,"ana_type","character varying",10,"NO",NULL,NULL
"t_anatype",3,"ana_name","character varying",50,"NO",NULL,NULL
"t_anatype",4,"level1_nm","character varying",20,"YES","'대분류'::character varying",NULL
"t_anatype",5,"level2_nm","character varying",20,"YES","'중분류'::character varying",NULL
"t_cauth",1,"login","character varying",10,"NO",NULL,NULL
"t_cauth",2,"seq","numeric",NULL,"NO",NULL,NULL
"t_cauth",3,"btype","character",5,"NO",NULL,NULL
"t_cauth",4,"mtype","character",8,"NO",NULL,NULL
"t_cauth",5,"stype","character varying",13,"YES",NULL,NULL
"t_cauth",6,"name","character varying",20,"YES",NULL,NULL
"t_cauth",7,"use_yn","character",1,"YES","'Y'::bpchar",NULL
"t_cauth",8,"reg_date","timestamp without time zone",NULL,"YES","CURRENT_TIMESTAMP",NULL
"t_cbizpt",1,"comcd","character varying",10,"NO",NULL,NULL
"t_cbizpt",2,"bizptcd","character varying",10,"NO",NULL,NULL
